#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E38D
#Date Time: 2025-04-07 17:06:28.436
#Sample rate: 400000Hz
#Samples: 4096

Time (s),Bus,DIO  6,DIO  5,DIO  4,DIO  3,DIO  2,DIO  1,DIO  0
-0.00101,0,0,0,0,0,0,0,0
-0.0010075,0,0,0,0,0,0,0,0
-0.001005,0,0,0,0,0,0,0,0
-0.0010025,0,0,0,0,0,0,0,0
-0.001,0,0,0,0,0,0,0,0
-0.0009974999999999999,0,0,0,0,0,0,0,0
-0.000995,0,0,0,0,0,0,0,0
-0.0009924999999999999,0,0,0,0,0,0,0,0
-0.00099,0,0,0,0,0,0,0,0
-0.0009875000000000001,0,0,0,0,0,0,0,0
-0.000985,0,0,0,0,0,0,0,0
-0.0009825000000000001,0,0,0,0,0,0,0,0
-0.00098,0,0,0,0,0,0,0,0
-0.0009775000000000001,0,0,0,0,0,0,0,0
-0.000975,0,0,0,0,0,0,0,0
-0.0009724999999999999,0,0,0,0,0,0,0,0
-0.0009700000000000001,0,0,0,0,0,0,0,0
-0.0009675,0,0,0,0,0,0,0,0
-0.000965,0,0,0,0,0,0,0,0
-0.0009625,0,0,0,0,0,0,0,0
-0.00096,0,0,0,0,0,0,0,0
-0.0009575,0,0,0,0,0,0,0,0
-0.000955,0,0,0,0,0,0,0,0
-0.0009525,0,0,0,0,0,0,0,0
-0.00095,0,0,0,0,0,0,0,0
-0.0009475,0,0,0,0,0,0,0,0
-0.000945,1,0,0,0,0,0,0,1
-0.0009425,1,0,0,0,0,0,0,1
-0.00094,1,0,0,0,0,0,0,1
-0.0009375,1,0,0,0,0,0,0,1
-0.000935,1,0,0,0,0,0,0,1
-0.0009325,1,0,0,0,0,0,0,1
-0.0009300000000000001,1,0,0,0,0,0,0,1
-0.0009275,1,0,0,0,0,0,0,1
-0.000925,1,0,0,0,0,0,0,1
-0.0009225,1,0,0,0,0,0,0,1
-0.00092,1,0,0,0,0,0,0,1
-0.0009175,1,0,0,0,0,0,0,1
-0.000915,1,0,0,0,0,0,0,1
-0.0009125,1,0,0,0,0,0,0,1
-0.00091,1,0,0,0,0,0,0,1
-0.0009075,1,0,0,0,0,0,0,1
-0.000905,1,0,0,0,0,0,0,1
-0.0009025,1,0,0,0,0,0,0,1
-0.0009,1,0,0,0,0,0,0,1
-0.0008975,3,0,0,0,0,0,1,1
-0.000895,3,0,0,0,0,0,1,1
-0.0008925,3,0,0,0,0,0,1,1
-0.0008899999999999999,3,0,0,0,0,0,1,1
-0.0008875000000000001,3,0,0,0,0,0,1,1
-0.000885,3,0,0,0,0,0,1,1
-0.0008825,3,0,0,0,0,0,1,1
-0.00088,3,0,0,0,0,0,1,1
-0.0008775,3,0,0,0,0,0,1,1
-0.000875,3,0,0,0,0,0,1,1
-0.0008725,3,0,0,0,0,0,1,1
-0.00087,3,0,0,0,0,0,1,1
-0.0008675,3,0,0,0,0,0,1,1
-0.000865,3,0,0,0,0,0,1,1
-0.0008625,3,0,0,0,0,0,1,1
-0.00086,3,0,0,0,0,0,1,1
-0.0008575,3,0,0,0,0,0,1,1
-0.000855,3,0,0,0,0,0,1,1
-0.0008525,3,0,0,0,0,0,1,1
-0.00085,3,0,0,0,0,0,1,1
-0.0008474999999999999,7,0,0,0,0,1,1,1
-0.000845,7,0,0,0,0,1,1,1
-0.0008425,7,0,0,0,0,1,1,1
-0.00084,7,0,0,0,0,1,1,1
-0.0008375,7,0,0,0,0,1,1,1
-0.000835,7,0,0,0,0,1,1,1
-0.0008325,7,0,0,0,0,1,1,1
-0.00083,7,0,0,0,0,1,1,1
-0.0008275,7,0,0,0,0,1,1,1
-0.000825,7,0,0,0,0,1,1,1
-0.0008225,7,0,0,0,0,1,1,1
-0.00082,7,0,0,0,0,1,1,1
-0.0008175,7,0,0,0,0,1,1,1
-0.000815,7,0,0,0,0,1,1,1
-0.0008125,7,0,0,0,0,1,1,1
-0.00081,7,0,0,0,0,1,1,1
-0.0008074999999999999,7,0,0,0,0,1,1,1
-0.0008050000000000001,7,0,0,0,0,1,1,1
-0.0008025,7,0,0,0,0,1,1,1
-0.0008,7,0,0,0,0,1,1,1
-0.0007975,15,0,0,0,1,1,1,1
-0.000795,15,0,0,0,1,1,1,1
-0.0007925,15,0,0,0,1,1,1,1
-0.00079,15,0,0,0,1,1,1,1
-0.0007875,15,0,0,0,1,1,1,1
-0.000785,15,0,0,0,1,1,1,1
-0.0007825,15,0,0,0,1,1,1,1
-0.00078,15,0,0,0,1,1,1,1
-0.0007775,15,0,0,0,1,1,1,1
-0.000775,15,0,0,0,1,1,1,1
-0.0007725,15,0,0,0,1,1,1,1
-0.00077,15,0,0,0,1,1,1,1
-0.0007675,15,0,0,0,1,1,1,1
-0.0007649999999999999,15,0,0,0,1,1,1,1
-0.0007625,15,0,0,0,1,1,1,1
-0.00076,15,0,0,0,1,1,1,1
-0.0007575,15,0,0,0,1,1,1,1
-0.000755,15,0,0,0,1,1,1,1
-0.0007525,15,0,0,0,1,1,1,1
-0.00075,15,0,0,0,1,1,1,1
-0.0007475,31,0,0,1,1,1,1,1
-0.000745,31,0,0,1,1,1,1,1
-0.0007425,31,0,0,1,1,1,1,1
-0.00074,31,0,0,1,1,1,1,1
-0.0007375,31,0,0,1,1,1,1,1
-0.000735,31,0,0,1,1,1,1,1
-0.0007325,31,0,0,1,1,1,1,1
-0.00073,31,0,0,1,1,1,1,1
-0.0007275,31,0,0,1,1,1,1,1
-0.000725,31,0,0,1,1,1,1,1
-0.0007225000000000001,31,0,0,1,1,1,1,1
-0.00072,31,0,0,1,1,1,1,1
-0.0007175,31,0,0,1,1,1,1,1
-0.000715,31,0,0,1,1,1,1,1
-0.0007125,31,0,0,1,1,1,1,1
-0.00071,31,0,0,1,1,1,1,1
-0.0007075,31,0,0,1,1,1,1,1
-0.000705,31,0,0,1,1,1,1,1
-0.0007025,31,0,0,1,1,1,1,1
-0.0007,31,0,0,1,1,1,1,1
-0.0006975,63,0,1,1,1,1,1,1
-0.000695,63,0,1,1,1,1,1,1
-0.0006925,63,0,1,1,1,1,1,1
-0.00069,63,0,1,1,1,1,1,1
-0.0006875,63,0,1,1,1,1,1,1
-0.000685,63,0,1,1,1,1,1,1
-0.0006824999999999999,63,0,1,1,1,1,1,1
-0.00068,63,0,1,1,1,1,1,1
-0.0006775,63,0,1,1,1,1,1,1
-0.000675,63,0,1,1,1,1,1,1
-0.0006725,63,0,1,1,1,1,1,1
-0.00067,63,0,1,1,1,1,1,1
-0.0006675,63,0,1,1,1,1,1,1
-0.000665,63,0,1,1,1,1,1,1
-0.0006625,63,0,1,1,1,1,1,1
-0.00066,63,0,1,1,1,1,1,1
-0.0006575,63,0,1,1,1,1,1,1
-0.000655,63,0,1,1,1,1,1,1
-0.0006525,63,0,1,1,1,1,1,1
-0.00065,63,0,1,1,1,1,1,1
-0.0006475,127,1,1,1,1,1,1,1
-0.000645,127,1,1,1,1,1,1,1
-0.0006425,127,1,1,1,1,1,1,1
-0.0006400000000000001,127,1,1,1,1,1,1,1
-0.0006375,127,1,1,1,1,1,1,1
-0.000635,127,1,1,1,1,1,1,1
-0.0006325,127,1,1,1,1,1,1,1
-0.00063,127,1,1,1,1,1,1,1
-0.0006275,127,1,1,1,1,1,1,1
-0.000625,127,1,1,1,1,1,1,1
-0.0006225,127,1,1,1,1,1,1,1
-0.00062,127,1,1,1,1,1,1,1
-0.0006175,127,1,1,1,1,1,1,1
-0.000615,127,1,1,1,1,1,1,1
-0.0006125,127,1,1,1,1,1,1,1
-0.00061,127,1,1,1,1,1,1,1
-0.0006075,127,1,1,1,1,1,1,1
-0.000605,127,1,1,1,1,1,1,1
-0.0006025,127,1,1,1,1,1,1,1
